id=33350, x=47.09, y=128.83 for query 1
id=143941, x=20.94, y=146.45 for query 59
id=40947, x=5.08, y=91.15 for query 60
id=82127, x=3.52, y=111.16 for query 61
id=28137, x=81.25, y=87.67 for query 62
id=88848, x=72.99, y=142.93 for query 63
id=10116, x=72.42, y=153.21 for query 64
id=37977, x=2.79, y=147.87 for query 65
id=20071, x=55.87, y=135.7 for query 66
id=116991, x=16.06, y=125.33 for query 67
id=14512, x=26.31, y=99.19 for query 68
id=68540, x=20.6, y=125.1 for query 69
id=112387, x=16.04, y=148.39 for query 70
id=89273, x=84.85, y=89.64 for query 71
id=8422, x=44.74, y=126.69 for query 72
id=104355, x=27.39, y=135.35 for query 73
id=126606, x=53.16, y=135.82 for query 74
id=119205, x=87.59, y=157.23 for query 75
id=49830, x=79.58, y=120.33 for query 76
id=82192, x=26.6, y=94.99 for query 77
id=91217, x=18.05, y=102.67 for query 78
id=69829, x=39.74, y=145.52 for query 79
id=8450, x=28.47, y=159.93 for query 80
id=106711, x=59.86, y=109.34 for query 81
id=3179, x=41.72, y=137.9 for query 82
id=5005, x=6.37, y=118.38 for query 83
id=28771, x=21.26, y=142.27 for query 84
id=76817, x=41.52, y=110.57 for query 85
id=66438, x=54.91, y=127.75 for query 86
id=87744, x=62.57, y=117.12 for query 87
id=28082, x=55.49, y=126.02 for query 88
id=58638, x=24.48, y=153.76 for query 89
id=122060, x=35.7, y=136.22 for query 90
id=80888, x=31.16, y=105.15 for query 91
id=108825, x=75.7, y=136.9 for query 92
id=146846, x=71.04, y=103.88 for query 93
id=137876, x=38.28, y=82.03 for query 94
id=6247, x=5.53, y=83.59 for query 95
id=107437, x=4.47, y=158.69 for query 96
id=94795, x=18.45, y=89.41 for query 97
id=41707, x=51.26, y=146.23 for query 98
id=63000, x=51.21, y=108.64 for query 99
id=110930, x=48.68, y=91.9 for query 100
id=11507, x=68.31, y=134.83 for query 101
id=54746, x=67.53, y=134.53 for query 102
id=37633, x=49.66, y=152.62 for query 103
id=43382, x=34.75, y=97.75 for query 104
id=17141, x=55.25, y=113.72 for query 105
id=116946, x=17.38, y=141.86 for query 106
id=11377, x=5.06, y=93.72 for query 107
id=60628, x=4.58, y=107.02 for query 108
id=117342, x=61.87, y=80.39 for query 109
id=109154, x=30.59, y=126.64 for query 110
id=138588, x=75.57, y=114.44 for query 111
id=69547, x=32.69, y=149.74 for query 112
id=75259, x=54.99, y=156.49 for query 113
id=145024, x=22.13, y=93.6 for query 114
id=138605, x=2.98, y=133.64 for query 115
id=93662, x=25.53, y=113.72 for query 116
id=21300, x=45.93, y=117.78 for query 117
id=12584, x=7.74, y=151.33 for query 118
id=42889, x=74.61, y=123.75 for query 119
id=38668, x=33.93, y=84.63 for query 120
id=61855, x=84.73, y=92.64 for query 121
id=141014, x=44.45, y=157.49 for query 122
id=130362, x=36.21, y=98.42 for query 123
id=8409, x=55.27, y=137.34 for query 124
id=142335, x=50.2, y=151.7 for query 125
id=56001, x=35.83, y=137.04 for query 126
id=66843, x=0.12, y=96.42 for query 127
id=131192, x=19.04, y=87.78 for query 128
id=10581, x=32.85, y=93.83 for query 129
id=15616, x=67.44, y=124.24 for query 130
id=103610, x=53.1, y=97.28 for query 131
id=136166, x=7.32, y=105.99 for query 132
id=144607, x=23.13, y=117.94 for query 133
id=107393, x=20.64, y=97.67 for query 134
id=117092, x=63.2, y=147.81 for query 135
id=121897, x=65.4, y=88.13 for query 136
id=97451, x=11.23, y=87.46 for query 137
id=70909, x=30.38, y=84.84 for query 138
id=89198, x=69.97, y=112.29 for query 139
id=100937, x=5.0, y=149.74 for query 140
id=24322, x=70.85, y=137.36 for query 141
id=23464, x=51.55, y=94.71 for query 142
id=56055, x=54.84, y=128.67 for query 143
id=40741, x=71.09, y=106.9 for query 144
id=36767, x=23.46, y=142.36 for query 145
id=52276, x=13.42, y=142.83 for query 146
id=46046, x=16.93, y=132.0 for query 147
id=97422, x=65.99, y=122.62 for query 148
id=140510, x=59.35, y=119.96 for query 149
id=15819, x=88.08, y=105.53 for query 150
id=70500, x=2.16, y=156.94 for query 151
id=81074, x=6.96, y=86.14 for query 152
id=108620, x=26.57, y=155.96 for query 153
id=81261, x=12.81, y=128.14 for query 154
id=51908, x=10.81, y=122.99 for query 155
id=75130, x=82.26, y=134.46 for query 156
id=149575, x=76.18, y=119.85 for query 157
id=121886, x=75.38, y=116.21 for query 158
id=61989, x=25.85, y=93.11 for query 159
id=88993, x=78.9, y=125.83 for query 160
id=104123, x=79.0, y=105.75 for query 161
id=54764, x=30.72, y=110.75 for query 162
id=116901, x=79.06, y=131.94 for query 163
id=111076, x=80.04, y=80.43 for query 164
id=64105, x=56.3, y=94.61 for query 165
id=50760, x=4.58, y=92.32 for query 166
id=59164, x=16.76, y=83.45 for query 167
id=111929, x=59.99, y=146.2 for query 168
id=80841, x=4.11, y=139.17 for query 169
id=22354, x=65.36, y=116.52 for query 170
id=126187, x=86.97, y=129.14 for query 171
id=34844, x=18.57, y=146.99 for query 172
id=39699, x=32.53, y=123.68 for query 173
id=94208, x=88.05, y=89.59 for query 174
id=5360, x=27.76, y=149.1 for query 175
id=129466, x=58.76, y=117.91 for query 176
id=22117, x=80.76, y=153.77 for query 177
id=46946, x=49.95, y=88.47 for query 178
id=32070, x=27.16, y=111.31 for query 179
id=22769, x=81.85, y=159.57 for query 180
id=96666, x=45.48, y=125.62 for query 181
id=104007, x=2.8, y=87.71 for query 182
id=81553, x=17.42, y=113.77 for query 183
id=38367, x=31.62, y=116.2 for query 184
id=48150, x=30.87, y=99.95 for query 185
id=11767, x=58.64, y=143.09 for query 186
id=23822, x=35.88, y=156.99 for query 187
id=18251, x=87.97, y=107.66 for query 188
id=14020, x=36.76, y=134.47 for query 189
id=133217, x=21.31, y=110.74 for query 190
id=59546, x=33.65, y=92.49 for query 191
id=14476, x=30.92, y=126.07 for query 192
id=104838, x=34.7, y=102.95 for query 193
id=72075, x=40.7, y=120.07 for query 194
id=57596, x=66.97, y=83.43 for query 195
id=82852, x=28.41, y=151.72 for query 196
id=123922, x=29.77, y=82.79 for query 197
id=84267, x=10.16, y=93.42 for query 198
id=69057, x=16.47, y=152.64 for query 199
id=144427, x=41.9, y=137.13 for query 200

Total Execution Time: 20.519710540771484 seconds
Average Execution Time Per Query: 0.10259855270385743 seconds
